year,player_id,name,country,position,primary_club,clubs,club_spans,tracked_months,top10_months,best_global_rank,peak_value_million_eur,latest_value_million_eur,latest_month
2016,5588,Michael Essien,Ghana,Midfield,Panathinaikos Athens,Panathinaikos Athens,Jan-Dec: Panathinaikos Athens,12,0,4040,1,0.8,2016-12
2017,5588,Michael Essien,Ghana,Midfield,PERSIB Bandung,Panathinaikos Athens | PERSIB Bandung,Jan-Apr: Panathinaikos Athens | May-Nov: PERSIB Bandung,11,0,4708,0.8,0.5,2017-11
2004,3467,Shaun Wright-Phillips,England,Attack,Manchester City,Manchester City,Oct-Dec: Manchester City,3,0,396,2.25,2.25,2004-12
2005,3467,Shaun Wright-Phillips,England,Attack,Chelsea FC,Manchester City | Chelsea FC,Jan-Jun: Manchester City | Jul-Dec: Chelsea FC,12,1,6,31.5,23,2005-12
2006,3467,Shaun Wright-Phillips,England,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,23,23,16,2006-12
2007,3467,Shaun Wright-Phillips,England,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,46,16,12.5,2007-12
2008,3467,Shaun Wright-Phillips,England,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,92,15,13,2008-12
2009,3467,Shaun Wright-Phillips,England,Attack,Manchester City,Chelsea FC | Manchester City,Jan: Chelsea FC | Feb-Dec: Manchester City,12,0,141,13,13,2009-12
2010,3467,Shaun Wright-Phillips,England,Attack,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,149,15,12,2010-12
2011,3467,Shaun Wright-Phillips,England,Attack,Manchester City,Manchester City | Queens Park Rangers,Jan-Jul: Manchester City | Aug-Dec: Queens Park Rangers,12,0,248,12,5.5,2011-12
2012,3467,Shaun Wright-Phillips,England,Attack,Queens Park Rangers,Queens Park Rangers,Jan-Dec: Queens Park Rangers,12,0,762,5.5,3.5,2012-12
2013,3467,Shaun Wright-Phillips,England,Attack,Queens Park Rangers,Queens Park Rangers,Jan-Dec: Queens Park Rangers,12,0,1940,2.5,2,2013-12
2014,3467,Shaun Wright-Phillips,England,Attack,Queens Park Rangers,Queens Park Rangers,Jan-Dec: Queens Park Rangers,12,0,3188,1.3,1,2014-12
2015,3467,Shaun Wright-Phillips,England,Attack,Queens Park Rangers,Queens Park Rangers,Jan-Dec: Queens Park Rangers,12,0,4147,1,0.5,2015-12
2016,3467,Shaun Wright-Phillips,England,Attack,New York Red Bulls,Queens Park Rangers | New York Red Bulls,Jan-Feb: Queens Park Rangers | Mar-Nov: New York Red Bulls,11,0,6749,0.5,0.3,2016-11
2004,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Oct-Dec: Chelsea FC,3,0,40,15,15,2004-12
2005,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,11,28,28,2005-12
2006,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,12,8,30,30,2006-12
2007,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,4,8,33,33,2007-12
2008,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Sep: Chelsea FC,9,0,14,33,33,2008-09
2009,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Feb-Dec: Chelsea FC,11,0,17,35,35,2009-12
2010,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,20,35,35,2010-12
2011,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,22,35,30,2011-12
2012,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,35,30,17.5,2012-12
2013,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,272,12,10,2013-12
2014,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,540,7.5,6,2014-12
2015,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,755,6,4,2015-12
2016,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,1262,4,2.5,2016-12
2017,3160,John Terry,England,Defender,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,2051,2.5,1,2017-12
2018,3160,John Terry,England,Defender,Aston Villa,Chelsea FC | Aston Villa,Jan: Chelsea FC | Feb-Nov: Aston Villa,11,0,4124,1,1,2018-11
2004,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Oct-Dec: FC Barcelona,3,0,21,21,21,2004-12
2005,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,20,21,21,2005-12
2006,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,3,10,28,28,2006-12
2007,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,11,31,31,2007-12
2008,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,11,38,38,2008-12
2009,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,6,50,50,2009-12
2010,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,3,65,50,2010-12
2011,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,7,50,45,2011-12
2012,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,1,7,45,30,2012-12
2013,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,80,25,10,2013-12
2014,7607,Xavi,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,406,10,5,2014-12
2015,7607,Xavi,Spain,Midfield,Al-Sadd SC,FC Barcelona | Al-Sadd SC,Jan-Jun: FC Barcelona | Jul-Dec: Al-Sadd SC,12,0,996,5,5,2015-12
2016,7607,Xavi,Spain,Midfield,Al-Sadd SC,Al-Sadd SC,Jan-Nov: Al-Sadd SC,11,0,1073,5,4,2016-11
2004,10,Miroslav Klose,Germany,Attack,SV Werder Bremen,SV Werder Bremen,Oct-Dec: SV Werder Bremen,3,0,130,7,7,2004-12
2005,10,Miroslav Klose,Germany,Attack,SV Werder Bremen,SV Werder Bremen,Jan-Dec: SV Werder Bremen,12,0,48,15,15,2005-12
2006,10,Miroslav Klose,Germany,Attack,SV Werder Bremen,SV Werder Bremen,Jan-Dec: SV Werder Bremen,12,6,9,30,30,2006-12
2007,10,Miroslav Klose,Germany,Attack,SV Werder Bremen,SV Werder Bremen,Jan-Dec: SV Werder Bremen,12,3,9,30,23,2007-12
2008,10,Miroslav Klose,Germany,Attack,Bayern Munich,SV Werder Bremen | Bayern Munich,Jan-May: SV Werder Bremen | Jun-Dec: Bayern Munich,12,0,37,23,20,2008-12
2009,10,Miroslav Klose,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,61,20,12,2009-12
2010,10,Miroslav Klose,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,333,9,7.5,2010-12
2011,10,Miroslav Klose,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,527,7,5,2011-12
2012,10,Miroslav Klose,Germany,Attack,SS Lazio,SS Lazio,Jan-Dec: SS Lazio,12,0,673,6,6,2012-12
2013,10,Miroslav Klose,Germany,Attack,SS Lazio,SS Lazio,Jan-Dec: SS Lazio,12,0,1136,4,2,2013-12
2014,10,Miroslav Klose,Germany,Attack,SS Lazio,SS Lazio,Jan-Dec: SS Lazio,12,0,3932,1,1,2014-12
2015,10,Miroslav Klose,Germany,Attack,SS Lazio,SS Lazio,Jan-Dec: SS Lazio,12,0,3994,1,1,2015-12
2016,10,Miroslav Klose,Germany,Attack,SS Lazio,SS Lazio,Jan-Dec: SS Lazio,12,0,4057,1,1,2016-12
2017,10,Miroslav Klose,Germany,Attack,SS Lazio,SS Lazio,Jan-Jun: SS Lazio,6,0,4054,1,1,2017-06
2004,8198,Cristiano Ronaldo,Portugal,Attack,Manchester United,Manchester United,Oct-Dec: Manchester United,3,0,26,18,18,2004-12
2005,8198,Cristiano Ronaldo,Portugal,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,15,26.5,26.5,2005-12
2006,8198,Cristiano Ronaldo,Portugal,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,15,26.5,25,2006-12
2007,8198,Cristiano Ronaldo,Portugal,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,4,7,34,34,2007-12
2008,8198,Cristiano Ronaldo,Portugal,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,11,1,60,60,2008-12
2009,8198,Cristiano Ronaldo,Portugal,Attack,Manchester United,Manchester United | Real Madrid,Jan-Jun: Manchester United | Jul-Dec: Real Madrid,12,12,1,70,70,2009-12
2010,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,2,90,90,2010-12
2011,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,2,90,90,2011-12
2012,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,2,100,100,2012-12
2013,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,2,100,100,2013-12
2014,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,1,120,120,2014-12
2015,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,1,120,110,2015-12
2016,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,2,110,110,2016-12
2017,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,12,2,100,100,2017-12
2018,8198,Cristiano Ronaldo,Portugal,Attack,Real Madrid,Real Madrid | Juventus FC,Jan-Nov: Real Madrid | Dec: Juventus FC,12,6,3,120,100,2018-12
2019,8198,Cristiano Ronaldo,Portugal,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,11,100,75,2019-12
2020,8198,Cristiano Ronaldo,Portugal,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,38,75,60,2020-12
2021,8198,Cristiano Ronaldo,Portugal,Attack,Juventus FC,Juventus FC | Manchester United,Jan-Nov: Juventus FC | Dec: Manchester United,12,0,48,60,35,2021-12
2022,8198,Cristiano Ronaldo,Portugal,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,160,35,20,2022-12
2023,8198,Cristiano Ronaldo,Portugal,Attack,Al-Nassr FC,Manchester United | Al-Nassr FC,Jan-May: Manchester United | Jun-Dec: Al-Nassr FC,12,0,407,20,15,2023-12
2024,8198,Cristiano Ronaldo,Portugal,Attack,Al-Nassr FC,Al-Nassr FC,Jan-Nov: Al-Nassr FC,11,0,664,15,15,2024-11
2026,8198,Cristiano Ronaldo,Portugal,Attack,Al-Nassr Football Club,Al-Nassr Football Club,Jun: Al-Nassr Football Club,1,0,727,15,15,2026-06
2004,3455,Zlatan Ibrahimović,Sweden,Attack,Juventus FC,Juventus FC,Oct-Dec: Juventus FC,3,0,17,22,22,2004-12
2005,3455,Zlatan Ibrahimović,Sweden,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,12,28,28,2005-12
2006,3455,Zlatan Ibrahimović,Sweden,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,12,28,25,2006-12
2007,3455,Zlatan Ibrahimović,Sweden,Attack,FC Internazionale,Juventus FC | FC Internazionale,Jan-Apr: Juventus FC | May-Dec: FC Internazionale,12,4,7,35,35,2007-12
2008,3455,Zlatan Ibrahimović,Sweden,Attack,FC Internazionale,FC Internazionale,Jan-Dec: FC Internazionale,12,11,5,45,45,2008-12
2009,3455,Zlatan Ibrahimović,Sweden,Attack,FC Internazionale,FC Internazionale | FC Barcelona,Jan-Jul: FC Internazionale | Aug-Dec: FC Barcelona,12,12,5,46,46,2009-12
2010,3455,Zlatan Ibrahimović,Sweden,Attack,FC Barcelona,FC Barcelona | AC Milan,Jan-Aug: FC Barcelona | Sep-Dec: AC Milan,12,1,9,46,30,2010-12
2011,3455,Zlatan Ibrahimović,Sweden,Attack,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,22,35,35,2011-12
2012,3455,Zlatan Ibrahimović,Sweden,Attack,AC Milan,AC Milan | Paris Saint-Germain,Jan-Jun: AC Milan | Jul-Dec: Paris Saint-Germain,12,0,14,37,35,2012-12
2013,3455,Zlatan Ibrahimović,Sweden,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,35,35,30,2013-12
2014,3455,Zlatan Ibrahimović,Sweden,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,60,28,26,2014-12
2015,3455,Zlatan Ibrahimović,Sweden,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,116,21,15,2015-12
2016,3455,Zlatan Ibrahimović,Sweden,Attack,Paris Saint-Germain,Paris Saint-Germain | Manchester United,Jan-Jul: Paris Saint-Germain | Aug-Dec: Manchester United,12,0,270,15,12,2016-12
2017,3455,Zlatan Ibrahimović,Sweden,Attack,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,422,12,8,2017-12
2018,3455,Zlatan Ibrahimović,Sweden,Attack,Los Angeles Galaxy,Manchester United | Los Angeles Galaxy,Jan-Feb: Manchester United | Mar-Dec: Los Angeles Galaxy,12,0,972,7,3.5,2018-12
2019,3455,Zlatan Ibrahimović,Sweden,Attack,Los Angeles Galaxy,Los Angeles Galaxy,Jan-Dec: Los Angeles Galaxy,12,0,2055,3.5,3.5,2019-12
2020,3455,Zlatan Ibrahimović,Sweden,Attack,AC Milan,Los Angeles Galaxy | AC Milan,Jan-Mar: Los Angeles Galaxy | Apr-Dec: AC Milan,12,0,1690,5,5,2020-12
2021,3455,Zlatan Ibrahimović,Sweden,Attack,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,1716,5,4,2021-12
2022,3455,Zlatan Ibrahimović,Sweden,Attack,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,2009,4,2,2022-12
2023,3455,Zlatan Ibrahimović,Sweden,Attack,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,3550,2,2,2023-12
2024,3455,Zlatan Ibrahimović,Sweden,Attack,AC Milan,AC Milan,Jan-Nov: AC Milan,11,0,3688,2,2,2024-11
2004,7980,David Villa,Spain,Attack,Real Zaragoza,Real Zaragoza,Oct-Dec: Real Zaragoza,3,0,357,2.5,2.5,2004-12
2005,7980,David Villa,Spain,Attack,Real Zaragoza,Real Zaragoza,Jan-Dec: Real Zaragoza,12,0,61,12,12,2005-12
2006,7980,David Villa,Spain,Attack,Valencia CF,Real Zaragoza | Valencia CF,Jan: Real Zaragoza | Feb-Dec: Valencia CF,12,0,23,22,22,2006-12
2007,7980,David Villa,Spain,Attack,Valencia CF,Valencia CF,Jan-Dec: Valencia CF,12,7,7,35,35,2007-12
2008,7980,David Villa,Spain,Attack,Valencia CF,Valencia CF,Jan-Dec: Valencia CF,12,1,9,35,35,2008-12
2009,7980,David Villa,Spain,Attack,Valencia CF,Valencia CF,Jan-Dec: Valencia CF,12,9,7,45,45,2009-12
2010,7980,David Villa,Spain,Attack,Valencia CF,Valencia CF | FC Barcelona,Jan-Jul: Valencia CF | Aug-Dec: FC Barcelona,12,5,6,50,50,2010-12
2011,7980,David Villa,Spain,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,6,50,45,2011-12
2012,7980,David Villa,Spain,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,1,6,45,28,2012-12
2013,7980,David Villa,Spain,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,107,20,12,2013-12
2014,7980,David Villa,Spain,Attack,Atlético de Madrid,Atlético de Madrid | Melbourne City FC,Jan-Sep: Atlético de Madrid | Oct-Dec: Melbourne City FC,12,0,357,10,7.5,2014-12
2015,7980,David Villa,Spain,Attack,New York City FC,Melbourne City FC | New York City FC,Jan-Feb: Melbourne City FC | Mar-Nov: New York City FC,11,0,563,7.5,7,2015-11
2004,28003,Lionel Messi,Argentina,Attack,FC Barcelona B,FC Barcelona B,Dec: FC Barcelona B,1,0,344,3,3,2004-12
2005,28003,Lionel Messi,Argentina,Attack,FC Barcelona B,FC Barcelona B | FC Barcelona,Jan-Nov: FC Barcelona B | Dec: FC Barcelona,12,0,263,5,5,2005-12
2006,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,48,15,15,2006-12
2007,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,6,2,60,60,2007-12
2008,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,2,60,55,2008-12
2009,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,2,70,70,2009-12
2010,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,100,100,2010-12
2011,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,100,100,2011-12
2012,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,120,120,2012-12
2013,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,120,120,2013-12
2014,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,120,120,2014-12
2015,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,120,120,2015-12
2016,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,120,120,2016-12
2017,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,120,120,2017-12
2018,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,1,180,160,2018-12
2019,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,3,160,140,2019-12
2020,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,10,8,140,100,2020-12
2021,28003,Lionel Messi,Argentina,Attack,FC Barcelona,FC Barcelona | Paris Saint-Germain,Jan-Nov: FC Barcelona | Dec: Paris Saint-Germain,12,0,18,80,60,2021-12
2022,28003,Lionel Messi,Argentina,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,0,61,60,50,2022-12
2023,28003,Lionel Messi,Argentina,Attack,Paris Saint-Germain,Paris Saint-Germain | Inter Miami CF,Jan-Jul: Paris Saint-Germain | Aug-Dec: Inter Miami CF,12,0,94,50,35,2023-12
2024,28003,Lionel Messi,Argentina,Attack,Inter Miami CF,Inter Miami CF,Jan-Dec: Inter Miami CF,12,0,213,35,35,2024-12
2025,28003,Lionel Messi,Argentina,Attack,Inter Miami CF,Inter Miami CF,Jan: Inter Miami CF,1,0,226,35,35,2025-01
2026,28003,Lionel Messi,Argentina,Attack,Club Internacional de Fútbol Miami,Club Internacional de Fútbol Miami,Jun: Club Internacional de Fútbol Miami,1,0,229,35,35,2026-06
2004,5817,Andrea Pirlo,Italy,Midfield,AC Milan,AC Milan,Oct-Dec: AC Milan,3,0,19,20,20,2004-12
2005,5817,Andrea Pirlo,Italy,Midfield,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,14,25,25,2005-12
2006,5817,Andrea Pirlo,Italy,Midfield,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,15,25,25,2006-12
2007,5817,Andrea Pirlo,Italy,Midfield,AC Milan,AC Milan,May-Dec: AC Milan,8,0,12,30,30,2007-12
2008,5817,Andrea Pirlo,Italy,Midfield,AC Milan,AC Milan,Jan-Dec: AC Milan,12,5,10,36,36,2008-12
2009,5817,Andrea Pirlo,Italy,Midfield,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,14,36,22,2009-12
2010,5817,Andrea Pirlo,Italy,Midfield,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,61,22,16,2010-12
2011,5817,Andrea Pirlo,Italy,Midfield,AC Milan,AC Milan,Jan-Dec: AC Milan,12,0,133,16,10,2011-12
2012,5817,Andrea Pirlo,Italy,Midfield,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,243,12.5,12.5,2012-12
2013,5817,Andrea Pirlo,Italy,Midfield,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,254,12,10,2013-12
2014,5817,Andrea Pirlo,Italy,Midfield,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,528,7.5,5,2014-12
2015,5817,Andrea Pirlo,Italy,Midfield,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,1774,2.5,1,2015-12
2016,5817,Andrea Pirlo,Italy,Midfield,New York City FC,Juventus FC | New York City FC,Jan-Feb: Juventus FC | Mar-Nov: New York City FC,11,0,3638,1,1,2016-11
2004,8806,Cesc Fàbregas,Spain,Midfield,Arsenal FC,Arsenal FC,Oct-Dec: Arsenal FC,3,0,351,2.5,2.5,2004-12
2005,8806,Cesc Fàbregas,Spain,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,126,8,8,2005-12
2006,8806,Cesc Fàbregas,Spain,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,57,13.5,13.5,2006-12
2007,8806,Cesc Fàbregas,Spain,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,28,22,22,2007-12
2008,8806,Cesc Fàbregas,Spain,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,6,10,38,38,2008-12
2009,8806,Cesc Fàbregas,Spain,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,2,8,40,40,2009-12
2010,8806,Cesc Fàbregas,Spain,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,12,4,55,55,2010-12
2011,8806,Cesc Fàbregas,Spain,Midfield,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,12,4,55,54,2011-12
2012,8806,Cesc Fàbregas,Spain,Midfield,FC Barcelona,Arsenal FC | FC Barcelona,Jan: Arsenal FC | Feb-Dec: FC Barcelona,12,12,4,55,55,2012-12
2013,8806,Cesc Fàbregas,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,6,55,45,2013-12
2014,8806,Cesc Fàbregas,Spain,Midfield,FC Barcelona,FC Barcelona | Chelsea FC,Jan-Jul: FC Barcelona | Aug-Dec: Chelsea FC,12,6,9,50,40,2014-12
2015,8806,Cesc Fàbregas,Spain,Midfield,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,11,50,50,2015-12
2016,8806,Cesc Fàbregas,Spain,Midfield,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,17,50,45,2016-12
2017,8806,Cesc Fàbregas,Spain,Midfield,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,22,45,35,2017-12
2018,8806,Cesc Fàbregas,Spain,Midfield,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,103,35,25,2018-12
2019,8806,Cesc Fàbregas,Spain,Midfield,AS Monaco,Chelsea FC | AS Monaco,Jan-Feb: Chelsea FC | Mar-Dec: AS Monaco,12,0,269,25,10,2019-12
2020,8806,Cesc Fàbregas,Spain,Midfield,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,931,10,6.5,2020-12
2021,8806,Cesc Fàbregas,Spain,Midfield,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,1311,6.5,3.5,2021-12
2022,8806,Cesc Fàbregas,Spain,Midfield,AS Monaco,AS Monaco | Como 1907,Jan-Nov: AS Monaco | Dec: Como 1907,12,0,2063,3.5,1.5,2022-12
2023,8806,Cesc Fàbregas,Spain,Midfield,Como 1907,Como 1907,Jan-Nov: Como 1907,11,0,3850,1.5,1,2023-11
2004,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Oct-Dec: FC Barcelona,3,0,58,12,12,2004-12
2005,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,59,12,12,2005-12
2006,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-May: FC Barcelona,5,0,70,12,12,2006-05
2007,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jun-Dec: FC Barcelona,7,0,30,22,22,2007-12
2008,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,15,34,34,2008-12
2009,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,9,4,50,50,2009-12
2010,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,3,60,60,2010-12
2011,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,3,65,65,2011-12
2012,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,3,70,70,2012-12
2013,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,12,3,70,65,2013-12
2014,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,6,7,55,45,2014-12
2015,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,36,35,35,2015-12
2016,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,42,35,30,2016-12
2017,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,78,30,20,2017-12
2018,7600,Andrés Iniesta,Spain,Midfield,FC Barcelona,FC Barcelona | Vissel Kobe,Jan-Jun: FC Barcelona | Jul-Dec: Vissel Kobe,12,0,229,20,8,2018-12
2019,7600,Andrés Iniesta,Spain,Midfield,Vissel Kobe,Vissel Kobe,Jan-Nov: Vissel Kobe,11,0,1225,6.75,5.5,2019-11
2004,22068,Franck Ribéry,France,Attack,FC Metz,FC Metz,Oct-Dec: FC Metz,3,0,313,3,3,2004-12
