player_id,name,player_code,country,date_of_birth,position,sub_position,current_club,current_competition_id,first_top10_month,last_top10_month,top10_months,peak_rank,peak_value_eur,peak_value_million_eur,peak_value_month,latest_tracked_month,latest_value_eur,latest_value_million_eur,latest_global_rank,color,image_url,player_url,transfer_history_status,photo_mosaic_status
405973,Fadel Gobitaka,fadel-gobitaka,Togo,1998-01-16,Attack,Left Winger,Royal Standard Club de Liège,BE1,2000-01,2001-06,18,1,150000,0.15,2000-01,2019-11,50000,0.05,14330,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973,pending,image_url_available
342216,Julien Serrano,julien-serrano,France,1998-02-13,Defender,Left-Back,Livingston Football Club,SC1,2001-07,2002-12,18,1,100000,0.1,2001-07,2022-11,250000,0.25,10865,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216,pending,image_url_available
6893,Gabriel Tamas,gabriel-tamas,Romania,1983-11-09,Defender,Centre-Back,West Bromwich Albion,GB1,2003-12,2004-09,10,1,900000,0.9,2003-12,2014-11,900000,0.9,4425,#52A7FF,https://img.a.transfermarkt.technology/portrait/header/6893-1691329146.jpg?lm=1,https://www.transfermarkt.co.uk/gabriel-tamas/profil/spieler/6893,pending,image_url_available
3132,Florin Cernat,florin-cernat,Romania,1980-03-10,Midfield,Attacking Midfield,Çaykur Rizespor Kulübü,TR1,2003-12,2004-09,10,2,400000,0.4,2003-12,2015-11,500000,0.5,6584,#8145E3,https://img.a.transfermarkt.technology/portrait/header/s_3132_126_2013_09_13_1.jpg?lm=1,https://www.transfermarkt.co.uk/florin-cernat/profil/spieler/3132,pending,image_url_available
3139,David Beckham,david-beckham,England,1975-05-02,Midfield,Right Midfield,Paris Saint-Germain Football Club,FR1,2004-10,2005-12,12,1,40000000,40,2004-10,2014-10,1000000,1,3758,#4545E3,https://img.a.transfermarkt.technology/portrait/header/3139-1459504284.jpg?lm=1,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139,pending,image_url_available
5958,Francesco Totti,francesco-totti,Italy,1976-09-27,Attack,Second Striker,Associazione Sportiva Roma,IT1,2004-10,2008-01,40,1,40000000,40,2007-04,2018-11,1000000,1,4284,#6EC6FF,https://img.a.transfermarkt.technology/portrait/header/5958-1448466835.jpg?lm=1,https://www.transfermarkt.co.uk/francesco-totti/profil/spieler/5958,pending,image_url_available
3366,Kaká,kaka,Brazil,1982-04-22,Midfield,Attacking Midfield,Associazione Calcio Milan,IT1,2004-10,2011-03,77,1,70000000,70,2007-09,2015-11,5000000,5,1002,#FFB84D,https://img.a.transfermarkt.technology/portrait/header/3366-1683638749.jpg?lm=1,https://www.transfermarkt.co.uk/kaka/profil/spieler/3366,pending,image_url_available
3332,Wayne Rooney,wayne-rooney,England,1985-10-24,Attack,Centre-Forward,Manchester United Football Club,GB1,2004-10,2013-12,102,1,65000000,65,2012-02,2019-11,4500000,4.5,1869,#CB45E3,https://img.a.transfermarkt.technology/portrait/header/3332-1551295290.jpg?lm=1,https://www.transfermarkt.co.uk/wayne-rooney/profil/spieler/3332,pending,image_url_available
3924,Didier Drogba,didier-drogba,Cote d'Ivoire,1978-03-11,Attack,Centre-Forward,Chelsea Football Club,GB1,2004-10,2009-01,34,3,40000000,40,2008-02,2016-11,1000000,1,3866,#FF8A3D,https://img.a.transfermarkt.technology/portrait/header/3924-1683633427.jpg?lm=1,https://www.transfermarkt.co.uk/didier-drogba/profil/spieler/3924,pending,image_url_available
7717,José Antonio Reyes,jose-antonio-reyes,Spain,1983-09-01,Attack,Right Winger,Reial Club Deportiu Espanyol de Barcelona S.A.D.,ES1,2004-10,2004-12,3,3,35000000,35,2004-12,2018-11,300000,0.3,9151,#4545E3,https://img.a.transfermarkt.technology/portrait/header/7717-1559470124.jpg?lm=1,https://www.transfermarkt.co.uk/jose-antonio-reyes/profil/spieler/7717,pending,image_url_available
9828,Ricardo Carvalho,ricardo-carvalho,Portugal,1978-05-18,Defender,Centre-Back,Association sportive de Monaco Football Club,FR1,2004-10,2005-01,4,4,30000000,30,2005-01,2017-11,200000,0.2,11063,#FF5D5D,https://img.a.transfermarkt.technology/portrait/header/9828-1464946916.jpg?lm=1,https://www.transfermarkt.co.uk/ricardo-carvalho/profil/spieler/9828,pending,image_url_available
1397,Michael Owen,michael-owen,England,1979-12-14,Attack,Centre-Forward,Stoke City,GB1,2004-10,2004-11,2,6,30000000,30,2004-10,2014-06,1000000,1,3970,#45A1E3,https://img.a.transfermarkt.technology/portrait/header/1397-1476361136.jpg?lm=1,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397,pending,image_url_available
5962,Antonio Cassano,antonio-cassano,Italy,1982-07-12,Attack,Second Striker,UC Sampdoria,IT1,2004-10,2004-12,3,9,25000000,25,2004-10,2018-06,300000,0.3,8544,#45B1E3,https://img.a.transfermarkt.technology/portrait/header/5962-1448965838.jpg?lm=1,https://www.transfermarkt.co.uk/antonio-cassano/profil/spieler/5962,pending,image_url_available
