country,crossover_count,first_observed_leader,first_observed_month,latest_leader,latest_month,latest_android_share,latest_ios_share,latest_ios_minus_android_pp,leader_timeline,source
Dominican Republic,9,iOS,2009-01,Android,2026-05,54.83,45.16,-9.67,2009-01:iOS | 2012-03:Android | 2024-10:iOS | 2025-02:Android | 2025-04:iOS | 2025-05:Android | 2025-12:iOS | 2026-01:Android | 2026-02:iOS | 2026-03:Android,StatCounter GlobalStats mobile OS web usage share
Eritrea,9,iOS,2009-03,Android,2026-05,94.84,3.97,-90.87,2009-03:iOS | 2012-02:Android | 2012-04:iOS | 2012-06:Android | 2012-08:iOS | 2012-09:Android | 2012-11:iOS | 2012-12:Android | 2013-07:iOS | 2013-08:Android,StatCounter GlobalStats mobile OS web usage share
Guyana,9,iOS,2009-01,Android,2026-05,77.14,22.84,-54.3,2009-01:iOS | 2009-09:Android | 2009-12:iOS | 2010-01:Android | 2010-03:iOS | 2011-12:Android | 2012-05:iOS | 2012-07:Android | 2012-08:iOS | 2012-09:Android,StatCounter GlobalStats mobile OS web usage share
Solomon Islands,9,iOS,2009-02,Android,2026-05,80.54,19.46,-61.08,2009-02:iOS | 2010-09:Android | 2010-12:iOS | 2011-01:Android | 2011-02:iOS | 2011-05:Android | 2011-06:iOS | 2011-12:Android | 2012-01:iOS | 2012-10:Android,StatCounter GlobalStats mobile OS web usage share
American Samoa,8,iOS,2009-01,iOS,2026-05,2.68,97.32,94.64,2009-01:iOS | 2011-08:Android | 2011-11:iOS | 2013-03:Android | 2013-06:iOS | 2013-10:Android | 2013-11:iOS | 2014-01:Android | 2021-12:iOS,StatCounter GlobalStats mobile OS web usage share
Canada,8,iOS,2009-01,iOS,2026-05,35.64,64.34,28.7,2009-01:iOS | 2016-08:Android | 2016-10:iOS | 2017-12:Android | 2018-01:iOS | 2019-10:Android | 2019-11:iOS | 2020-06:Android | 2020-07:iOS,StatCounter GlobalStats mobile OS web usage share
Denmark,8,iOS,2009-01,iOS,2026-05,36.58,63.42,26.84,2009-01:iOS | 2016-11:Android | 2017-02:iOS | 2017-07:Android | 2017-12:iOS | 2018-01:Android | 2018-03:iOS | 2018-04:Android | 2018-08:iOS,StatCounter GlobalStats mobile OS web usage share
Sint Maarten,8,Android,2013-01,Android,2026-05,55.46,44.52,-10.94,2013-01:Android | 2013-03:iOS | 2013-05:Android | 2013-07:iOS | 2013-09:Android | 2014-07:iOS | 2014-10:Android | 2026-02:iOS | 2026-03:Android,StatCounter GlobalStats mobile OS web usage share
Armenia,7,iOS,2009-01,Android,2026-05,60.46,39.51,-20.95,2009-01:iOS | 2012-03:Android | 2012-04:iOS | 2012-05:Android | 2012-06:iOS | 2012-08:Android | 2013-05:iOS | 2013-07:Android,StatCounter GlobalStats mobile OS web usage share
Dominica,7,iOS,2009-01,Android,2026-05,76.87,23.13,-53.74,2009-01:iOS | 2012-11:Android | 2013-03:iOS | 2013-04:Android | 2013-09:iOS | 2013-11:Android | 2013-12:iOS | 2014-01:Android,StatCounter GlobalStats mobile OS web usage share
French Polynesia,7,iOS,2009-01,Android,2026-05,72.74,27.25,-45.49,2009-01:iOS | 2013-10:Android | 2013-11:iOS | 2013-12:Android | 2024-08:iOS | 2024-09:Android | 2024-10:iOS | 2024-11:Android,StatCounter GlobalStats mobile OS web usage share
Kiribati,7,iOS,2009-03,Android,2026-05,69.03,30.9,-38.13,2009-03:iOS | 2012-02:Android | 2012-05:iOS | 2012-06:Android | 2012-08:iOS | 2012-09:Android | 2013-01:iOS | 2013-02:Android,StatCounter GlobalStats mobile OS web usage share
Lesotho,7,iOS,2009-01,Android,2026-05,90.5,9.32,-81.18,2009-01:iOS | 2011-07:Android | 2011-12:iOS | 2012-01:Android | 2012-02:iOS | 2012-03:Android | 2012-05:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
Niger,7,iOS,2009-01,Android,2026-05,97.76,2.23,-95.53,2009-01:iOS | 2011-10:Android | 2011-11:iOS | 2012-01:Android | 2012-02:iOS | 2012-04:Android | 2012-07:iOS | 2012-09:Android,StatCounter GlobalStats mobile OS web usage share
Saint Kitts and Nevis,7,iOS,2009-01,Android,2026-05,58.92,41.07,-17.85,2009-01:iOS | 2012-05:Android | 2012-07:iOS | 2013-01:Android | 2013-03:iOS | 2013-08:Android | 2014-04:iOS | 2014-05:Android,StatCounter GlobalStats mobile OS web usage share
Sierra Leone,7,iOS,2009-01,Android,2026-05,85.38,14.58,-70.8,2009-01:iOS | 2010-08:Android | 2010-09:iOS | 2011-05:Android | 2011-06:iOS | 2011-08:Android | 2011-09:iOS | 2011-10:Android,StatCounter GlobalStats mobile OS web usage share
Timor-Leste,7,iOS,2010-03,Android,2026-05,76.9,23.05,-53.85,2010-03:iOS | 2010-12:Android | 2011-01:iOS | 2011-06:Android | 2011-09:iOS | 2011-10:Android | 2012-06:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
Tonga,7,iOS,2009-01,Android,2026-05,60.94,39.01,-21.93,2009-01:iOS | 2011-11:Android | 2011-12:iOS | 2012-06:Android | 2012-07:iOS | 2012-10:Android | 2012-11:iOS | 2013-07:Android,StatCounter GlobalStats mobile OS web usage share
Trinidad and Tobago,7,iOS,2009-01,Android,2026-05,64.92,35.08,-29.84,2009-01:iOS | 2011-08:Android | 2011-09:iOS | 2012-06:Android | 2024-07:iOS | 2024-08:Android | 2025-07:iOS | 2025-08:Android,StatCounter GlobalStats mobile OS web usage share
Turkmenistan,7,iOS,2009-02,Android,2026-05,87.42,12.58,-74.84,2009-02:iOS | 2010-12:Android | 2011-02:iOS | 2011-11:Android | 2022-01:iOS | 2022-08:Android | 2025-06:iOS | 2025-08:Android,StatCounter GlobalStats mobile OS web usage share
Albania,6,iOS,2009-01,iOS,2026-05,43.56,56.42,12.86,2009-01:iOS | 2013-07:Android | 2022-08:iOS | 2023-01:Android | 2023-04:iOS | 2025-01:Android | 2025-05:iOS,StatCounter GlobalStats mobile OS web usage share
Bahamas,6,iOS,2009-01,iOS,2026-05,6.27,93.72,87.45,2009-01:iOS | 2012-10:Android | 2012-11:iOS | 2012-12:Android | 2022-03:iOS | 2022-08:Android | 2022-11:iOS,StatCounter GlobalStats mobile OS web usage share
Cook Islands,6,iOS,2009-01,iOS,2026-05,48.43,51.57,3.14,2009-01:iOS | 2012-06:Android | 2012-07:iOS | 2012-10:Android | 2018-11:iOS | 2018-12:Android | 2025-06:iOS,StatCounter GlobalStats mobile OS web usage share
Japan,6,iOS,2009-01,iOS,2026-05,36,63.99,27.99,2009-01:iOS | 2011-08:Android | 2011-12:iOS | 2012-03:Android | 2012-06:iOS | 2012-08:Android | 2012-10:iOS,StatCounter GlobalStats mobile OS web usage share
Sweden,6,iOS,2009-01,iOS,2026-05,42.96,57.03,14.07,2009-01:iOS | 2019-08:Android | 2019-12:iOS | 2020-01:Android | 2020-10:iOS | 2026-04:Android | 2026-05:iOS,StatCounter GlobalStats mobile OS web usage share
Switzerland,6,iOS,2009-01,iOS,2026-05,40.34,59.65,19.31,2009-01:iOS | 2019-10:Android | 2019-12:iOS | 2020-05:Android | 2020-10:iOS | 2024-06:Android | 2024-08:iOS,StatCounter GlobalStats mobile OS web usage share
Taiwan,6,iOS,2009-01,iOS,2026-05,42.74,57.25,14.51,2009-01:iOS | 2011-03:Android | 2018-08:iOS | 2019-05:Android | 2021-05:iOS | 2021-09:Android | 2021-12:iOS,StatCounter GlobalStats mobile OS web usage share
Antigua and Barbuda,5,iOS,2009-01,Android,2026-05,54.97,44.89,-10.08,2009-01:iOS | 2012-09:Android | 2012-10:iOS | 2012-11:Android | 2026-03:iOS | 2026-04:Android,StatCounter GlobalStats mobile OS web usage share
Benin,5,iOS,2009-01,Android,2026-05,81.56,18.35,-63.21,2009-01:iOS | 2011-09:Android | 2011-10:iOS | 2011-11:Android | 2011-12:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Bolivia,5,iOS,2009-01,Android,2026-05,87.89,12.1,-75.79,2009-01:iOS | 2011-04:Android | 2011-06:iOS | 2011-08:Android | 2011-09:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Cameroon,5,iOS,2009-01,Android,2026-05,82.57,17.38,-65.19,2009-01:iOS | 2011-09:Android | 2011-10:iOS | 2011-11:Android | 2012-02:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Chad,5,iOS,2009-04,Android,2026-05,96.11,3.89,-92.22,2009-04:iOS | 2011-04:Android | 2011-05:iOS | 2012-06:Android | 2013-12:iOS | 2014-01:Android,StatCounter GlobalStats mobile OS web usage share
Curacao,5,iOS,2012-03,Android,2026-05,68.4,31.59,-36.81,2012-03:iOS | 2012-12:Android | 2013-03:iOS | 2013-04:Android | 2013-08:iOS | 2013-11:Android,StatCounter GlobalStats mobile OS web usage share
Cyprus,5,iOS,2009-01,Android,2026-05,62.35,37.65,-24.7,2009-01:iOS | 2012-02:Android | 2012-03:iOS | 2012-04:Android | 2012-05:iOS | 2012-06:Android,StatCounter GlobalStats mobile OS web usage share
Equatorial Guinea,5,iOS,2009-01,Android,2026-05,95.7,4.22,-91.48,2009-01:iOS | 2011-02:Android | 2011-05:iOS | 2011-09:Android | 2011-11:iOS | 2012-04:Android,StatCounter GlobalStats mobile OS web usage share
Gabon,5,iOS,2009-01,Android,2026-05,87.53,12.45,-75.08,2009-01:iOS | 2011-10:Android | 2012-02:iOS | 2012-03:Android | 2012-05:iOS | 2012-06:Android,StatCounter GlobalStats mobile OS web usage share
Haiti,5,iOS,2009-01,Android,2026-05,82.64,17.35,-65.29,2009-01:iOS | 2011-08:Android | 2011-11:iOS | 2011-12:Android | 2012-04:iOS | 2012-08:Android,StatCounter GlobalStats mobile OS web usage share
Honduras,5,iOS,2009-01,Android,2026-05,67.44,32.55,-34.89,2009-01:iOS | 2011-04:Android | 2011-09:iOS | 2012-02:Android | 2024-10:iOS | 2024-11:Android,StatCounter GlobalStats mobile OS web usage share
Malawi,5,iOS,2009-01,Android,2026-05,95.72,4.19,-91.53,2009-01:iOS | 2011-06:Android | 2011-07:iOS | 2011-08:Android | 2012-06:iOS | 2012-08:Android,StatCounter GlobalStats mobile OS web usage share
Saint Vincent and the Grenadines,5,iOS,2009-01,Android,2026-05,71.71,28.29,-43.42,2009-01:iOS | 2012-09:Android | 2012-10:iOS | 2013-03:Android | 2013-05:iOS | 2013-06:Android,StatCounter GlobalStats mobile OS web usage share
Samoa,5,iOS,2009-03,Android,2026-05,77.48,22.38,-55.1,2009-03:iOS | 2011-10:Android | 2011-11:iOS | 2012-08:Android | 2012-11:iOS | 2012-12:Android,StatCounter GlobalStats mobile OS web usage share
Saudi Arabia,5,iOS,2009-01,Android,2026-05,79.23,20.76,-58.47,2009-01:iOS | 2012-05:Android | 2021-12:iOS | 2022-02:Android | 2022-09:iOS | 2022-10:Android,StatCounter GlobalStats mobile OS web usage share
Seychelles,5,iOS,2009-01,Android,2026-05,56.58,43.4,-13.18,2009-01:iOS | 2011-12:Android | 2021-11:iOS | 2022-05:Android | 2023-09:iOS | 2023-11:Android,StatCounter GlobalStats mobile OS web usage share
Swaziland,5,iOS,2009-01,Android,2026-05,87.5,12.47,-75.03,2009-01:iOS | 2010-11:Android | 2010-12:iOS | 2011-05:Android | 2011-06:iOS | 2011-08:Android,StatCounter GlobalStats mobile OS web usage share
Vanuatu,5,iOS,2009-01,Android,2026-05,84.97,15.03,-69.94,2009-01:iOS | 2012-08:Android | 2012-10:iOS | 2012-11:Android | 2012-12:iOS | 2013-01:Android,StatCounter GlobalStats mobile OS web usage share
Andorra,4,iOS,2009-01,iOS,2026-05,30,70,40,2009-01:iOS | 2012-04:Android | 2012-11:iOS | 2012-12:Android | 2021-12:iOS,StatCounter GlobalStats mobile OS web usage share
Malta,4,iOS,2009-01,iOS,2026-05,48.86,51.13,2.27,2009-01:iOS | 2012-04:Android | 2012-05:iOS | 2012-06:Android | 2026-04:iOS,StatCounter GlobalStats mobile OS web usage share
Algeria,3,iOS,2009-01,Android,2026-05,86.6,13.38,-73.22,2009-01:iOS | 2012-02:Android | 2012-04:iOS | 2012-05:Android,StatCounter GlobalStats mobile OS web usage share
Austria,3,iOS,2009-01,Android,2026-05,50.63,49.36,-1.27,2009-01:iOS | 2011-10:Android | 2025-12:iOS | 2026-01:Android,StatCounter GlobalStats mobile OS web usage share
Bosnia and Herzegovina,3,iOS,2009-01,Android,2026-05,71.71,28.28,-43.43,2009-01:iOS | 2011-06:Android | 2011-07:iOS | 2011-08:Android,StatCounter GlobalStats mobile OS web usage share
Botswana,3,iOS,2009-01,Android,2026-05,81.77,18.2,-63.57,2009-01:iOS | 2012-04:Android | 2012-05:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
Brunei Darussalam,3,iOS,2009-01,Android,2026-05,67.17,32.79,-34.38,2009-01:iOS | 2011-08:Android | 2011-09:iOS | 2011-10:Android,StatCounter GlobalStats mobile OS web usage share
Burundi,3,iOS,2009-01,Android,2026-05,93.17,6.78,-86.39,2009-01:iOS | 2009-09:Android | 2009-10:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Central African Republic,3,iOS,2009-02,Android,2026-05,92.88,6.97,-85.91,2009-02:iOS | 2011-12:Android | 2012-05:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
Chile,3,iOS,2009-01,Android,2026-05,78.27,21.73,-56.54,2009-01:iOS | 2011-08:Android | 2011-09:iOS | 2011-10:Android,StatCounter GlobalStats mobile OS web usage share
Cote d'Ivoire,3,iOS,2009-01,Android,2026-05,74.95,25.03,-49.92,2009-01:iOS | 2011-07:Android | 2011-12:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Ecuador,3,iOS,2009-01,Android,2026-05,75.62,24.38,-51.24,2009-01:iOS | 2011-07:Android | 2011-09:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Finland,3,iOS,2009-01,Android,2026-05,57.62,42.35,-15.27,2009-01:iOS | 2011-09:Android | 2011-11:iOS | 2012-09:Android,StatCounter GlobalStats mobile OS web usage share
French Guiana,3,iOS,2009-01,Android,2026-05,57.62,42.38,-15.24,2009-01:iOS | 2011-02:Android | 2011-03:iOS | 2011-04:Android,StatCounter GlobalStats mobile OS web usage share
Georgia,3,iOS,2009-01,Android,2026-05,64.1,35.9,-28.2,2009-01:iOS | 2012-11:Android | 2013-01:iOS | 2013-02:Android,StatCounter GlobalStats mobile OS web usage share
Kyrgyzstan,3,iOS,2009-01,Android,2026-05,72.45,27.55,-44.9,2009-01:iOS | 2011-04:Android | 2011-05:iOS | 2011-08:Android,StatCounter GlobalStats mobile OS web usage share
Latvia,3,iOS,2009-01,Android,2026-05,63.81,36.16,-27.65,2009-01:iOS | 2010-12:Android | 2011-03:iOS | 2011-04:Android,StatCounter GlobalStats mobile OS web usage share
Liberia,3,iOS,2009-01,Android,2026-05,86.27,13.66,-72.61,2009-01:iOS | 2011-06:Android | 2011-07:iOS | 2012-01:Android,StatCounter GlobalStats mobile OS web usage share
Lithuania,3,iOS,2009-01,Android,2026-05,63,36.99,-26.01,2009-01:iOS | 2010-12:Android | 2023-12:iOS | 2025-02:Android,StatCounter GlobalStats mobile OS web usage share
Macedonia,3,iOS,2009-01,Android,2026-05,65.88,34.12,-31.76,2009-01:iOS | 2011-08:Android | 2011-09:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Mali,3,iOS,2009-01,Android,2026-05,93.76,6.23,-87.53,2009-01:iOS | 2011-07:Android | 2011-08:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Mayotte,3,iOS,2009-03,Android,2026-05,78.97,21.03,-57.94,2009-03:iOS | 2011-01:Android | 2012-02:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Mongolia,3,iOS,2009-01,Android,2026-05,60.88,39.12,-21.76,2009-01:iOS | 2011-03:Android | 2011-04:iOS | 2011-06:Android,StatCounter GlobalStats mobile OS web usage share
Morocco,3,iOS,2009-01,Android,2026-05,75.28,24.7,-50.58,2009-01:iOS | 2011-08:Android | 2011-09:iOS | 2012-01:Android,StatCounter GlobalStats mobile OS web usage share
Mozambique,3,iOS,2009-01,Android,2026-05,86.34,13.5,-72.84,2009-01:iOS | 2012-01:Android | 2012-02:iOS | 2012-04:Android,StatCounter GlobalStats mobile OS web usage share
Netherlands,3,iOS,2009-01,Android,2026-05,57.31,42.66,-14.65,2009-01:iOS | 2012-06:Android | 2021-10:iOS | 2021-11:Android,StatCounter GlobalStats mobile OS web usage share
Northern Mariana Islands,3,iOS,2009-01,Android,2026-05,65.54,34.46,-31.08,2009-01:iOS | 2010-04:Android | 2010-05:iOS | 2010-08:Android,StatCounter GlobalStats mobile OS web usage share
Reunion,3,iOS,2009-01,Android,2026-05,57.86,42.13,-15.73,2009-01:iOS | 2011-09:Android | 2011-11:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Saint Lucia,3,iOS,2009-01,Android,2026-05,60.05,39.78,-20.27,2009-01:iOS | 2011-05:Android | 2011-06:iOS | 2013-01:Android,StatCounter GlobalStats mobile OS web usage share
San Marino,3,iOS,2009-01,Android,2026-05,54.4,45.6,-8.8,2009-01:iOS | 2014-01:Android | 2023-10:iOS | 2023-11:Android,StatCounter GlobalStats mobile OS web usage share
Togo,3,iOS,2009-01,Android,2026-05,83.6,16.36,-67.24,2009-01:iOS | 2011-08:Android | 2011-12:iOS | 2012-04:Android,StatCounter GlobalStats mobile OS web usage share
Uruguay,3,iOS,2009-01,Android,2026-05,73.72,26.27,-47.45,2009-01:iOS | 2011-08:Android | 2012-01:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Vietnam,3,iOS,2009-01,Android,2026-05,60.59,39.38,-21.21,2009-01:iOS | 2014-11:Android | 2015-07:iOS | 2015-08:Android,StatCounter GlobalStats mobile OS web usage share
Zimbabwe,3,iOS,2009-01,Android,2026-05,87.65,12.32,-75.33,2009-01:iOS | 2011-09:Android | 2011-10:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Australia,2,iOS,2009-01,iOS,2026-05,37.21,62.77,25.56,2009-01:iOS | 2025-08:Android | 2025-09:iOS,StatCounter GlobalStats mobile OS web usage share
Bahrain,2,iOS,2009-01,iOS,2026-05,47.45,52.54,5.09,2009-01:iOS | 2012-07:Android | 2026-04:iOS,StatCounter GlobalStats mobile OS web usage share
Guernsey,2,iOS,2009-04,iOS,2026-05,33.67,66.31,32.64,2009-04:iOS | 2025-11:Android | 2026-01:iOS,StatCounter GlobalStats mobile OS web usage share
Jersey,2,iOS,2009-02,iOS,2026-05,35.03,64.96,29.93,2009-02:iOS | 2011-04:Android | 2011-05:iOS,StatCounter GlobalStats mobile OS web usage share
Macao,2,iOS,2009-01,iOS,2026-05,38.12,61.86,23.74,2009-01:iOS | 2012-04:Android | 2015-07:iOS,StatCounter GlobalStats mobile OS web usage share
Monaco,2,iOS,2009-01,iOS,2026-05,34.97,65.03,30.06,2009-01:iOS | 2019-10:Android | 2019-11:iOS,StatCounter GlobalStats mobile OS web usage share
United States,2,iOS,2009-01,iOS,2026-05,38.58,61.4,22.82,2009-01:iOS | 2011-08:Android | 2011-10:iOS,StatCounter GlobalStats mobile OS web usage share
Afghanistan,1,iOS,2009-01,Android,2026-05,89,11,-78,2009-01:iOS | 2012-10:Android,StatCounter GlobalStats mobile OS web usage share
Angola,1,iOS,2009-01,Android,2026-05,76.81,22.88,-53.93,2009-01:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Argentina,1,iOS,2009-01,Android,2026-05,81.14,18.83,-62.31,2009-01:iOS | 2011-04:Android,StatCounter GlobalStats mobile OS web usage share
Azerbaijan,1,iOS,2009-01,Android,2026-05,78.66,21.28,-57.38,2009-01:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Bangladesh,1,iOS,2009-01,Android,2026-05,92.18,7.75,-84.43,2009-01:iOS | 2011-08:Android,StatCounter GlobalStats mobile OS web usage share
Barbados,1,iOS,2009-01,Android,2026-05,62.66,37.34,-25.32,2009-01:iOS | 2012-09:Android,StatCounter GlobalStats mobile OS web usage share
Belarus,1,iOS,2009-01,Android,2026-05,56.61,43.36,-13.25,2009-01:iOS | 2010-08:Android,StatCounter GlobalStats mobile OS web usage share
Bhutan,1,iOS,2009-01,Android,2026-05,85.96,13.91,-72.05,2009-01:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Brazil,1,iOS,2009-01,Android,2026-05,77.9,22.1,-55.8,2009-01:iOS | 2010-12:Android,StatCounter GlobalStats mobile OS web usage share
Bulgaria,1,iOS,2009-01,Android,2026-05,76.33,23.67,-52.66,2009-01:iOS | 2010-10:Android,StatCounter GlobalStats mobile OS web usage share
Burkina Faso,1,iOS,2009-01,Android,2026-05,90.04,9.96,-80.08,2009-01:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Cape Verde,1,iOS,2009-01,Android,2026-05,66.9,33.07,-33.83,2009-01:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
China,1,iOS,2009-01,Android,2026-05,71.92,27.8,-44.12,2009-01:iOS | 2011-10:Android,StatCounter GlobalStats mobile OS web usage share
Colombia,1,iOS,2009-01,Android,2026-05,87.34,12.66,-74.68,2009-01:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
Congo The Democratic Republic of,1,iOS,2009-01,Android,2026-05,84.83,15.12,-69.71,2009-01:iOS | 2011-10:Android,StatCounter GlobalStats mobile OS web usage share
Costa Rica,1,iOS,2009-01,Android,2026-05,63.24,36.75,-26.49,2009-01:iOS | 2011-03:Android,StatCounter GlobalStats mobile OS web usage share
Croatia,1,iOS,2009-01,Android,2026-05,69.37,30.63,-38.74,2009-01:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Czech Republic,1,iOS,2009-01,Android,2026-05,70.06,29.76,-40.3,2009-01:iOS | 2011-05:Android,StatCounter GlobalStats mobile OS web usage share
Djibouti,1,iOS,2009-01,Android,2026-05,86.24,13.75,-72.49,2009-01:iOS | 2011-12:Android,StatCounter GlobalStats mobile OS web usage share
Egypt,1,iOS,2009-01,Android,2026-05,89.36,10.63,-78.73,2009-01:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
El Salvador,1,iOS,2009-01,Android,2026-05,74.24,25.75,-48.49,2009-01:iOS | 2012-04:Android,StatCounter GlobalStats mobile OS web usage share
Estonia,1,iOS,2009-01,Android,2026-05,57.42,42.55,-14.87,2009-01:iOS | 2011-04:Android,StatCounter GlobalStats mobile OS web usage share
Ethiopia,1,iOS,2009-01,Android,2026-05,97.62,2.25,-95.37,2009-01:iOS | 2012-05:Android,StatCounter GlobalStats mobile OS web usage share
Fiji,1,iOS,2009-01,Android,2026-05,79.57,20.4,-59.17,2009-01:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
France,1,iOS,2009-01,Android,2026-05,65,34.98,-30.02,2009-01:iOS | 2014-02:Android,StatCounter GlobalStats mobile OS web usage share
Gambia,1,iOS,2009-01,Android,2026-05,77.66,22.33,-55.33,2009-01:iOS | 2012-04:Android,StatCounter GlobalStats mobile OS web usage share
Germany,1,iOS,2009-01,Android,2026-05,55.16,44.82,-10.34,2009-01:iOS | 2012-06:Android,StatCounter GlobalStats mobile OS web usage share
Ghana,1,iOS,2009-01,Android,2026-05,68.69,31.24,-37.45,2009-01:iOS | 2011-07:Android,StatCounter GlobalStats mobile OS web usage share
Greece,1,iOS,2009-01,Android,2026-05,70.84,28.95,-41.89,2009-01:iOS | 2012-01:Android,StatCounter GlobalStats mobile OS web usage share
Grenada,1,iOS,2009-01,Android,2026-05,67.41,32.59,-34.82,2009-01:iOS | 2013-06:Android,StatCounter GlobalStats mobile OS web usage share
Guadeloupe,1,iOS,2009-01,Android,2026-05,65.38,34.62,-30.76,2009-01:iOS | 2011-07:Android,StatCounter GlobalStats mobile OS web usage share
Guatemala,1,iOS,2009-01,Android,2026-05,69.73,30.26,-39.47,2009-01:iOS | 2012-08:Android,StatCounter GlobalStats mobile OS web usage share
Hungary,1,iOS,2009-01,Android,2026-05,72.98,27.01,-45.97,2009-01:iOS | 2011-01:Android,StatCounter GlobalStats mobile OS web usage share
India,1,iOS,2009-01,Android,2026-05,93.21,6.69,-86.52,2009-01:iOS | 2010-11:Android,StatCounter GlobalStats mobile OS web usage share
Indonesia,1,iOS,2009-01,Android,2026-05,82.94,16.99,-65.95,2009-01:iOS | 2010-11:Android,StatCounter GlobalStats mobile OS web usage share
Iran Islamic Republic of,1,iOS,2009-01,Android,2026-05,83.08,14.67,-68.41,2009-01:iOS | 2011-01:Android,StatCounter GlobalStats mobile OS web usage share
Iraq,1,iOS,2009-01,Android,2026-05,82.61,17.37,-65.24,2009-01:iOS | 2012-01:Android,StatCounter GlobalStats mobile OS web usage share
Israel,1,iOS,2009-01,Android,2026-05,66.93,33.06,-33.87,2009-01:iOS | 2013-12:Android,StatCounter GlobalStats mobile OS web usage share
Italy,1,iOS,2009-01,Android,2026-05,62.78,37.2,-25.58,2009-01:iOS | 2012-12:Android,StatCounter GlobalStats mobile OS web usage share
Jamaica,1,iOS,2009-01,Android,2026-05,59.09,40.89,-18.2,2009-01:iOS | 2012-09:Android,StatCounter GlobalStats mobile OS web usage share
Jordan,1,iOS,2009-01,Android,2026-05,76.46,23.54,-52.92,2009-01:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Kazakhstan,1,iOS,2009-01,Android,2026-05,55.89,44.1,-11.79,2009-01:iOS | 2011-11:Android,StatCounter GlobalStats mobile OS web usage share
Kenya,1,iOS,2009-01,Android,2026-05,92.55,6.63,-85.92,2009-01:iOS | 2011-01:Android,StatCounter GlobalStats mobile OS web usage share
Korea Republic of,1,iOS,2009-01,Android,2026-05,66.88,33.11,-33.77,2009-01:iOS | 2010-07:Android,StatCounter GlobalStats mobile OS web usage share
Kuwait,1,iOS,2009-01,Android,2026-05,59.64,40.34,-19.3,2009-01:iOS | 2012-11:Android,StatCounter GlobalStats mobile OS web usage share
Lao People's Democratic Republic,1,iOS,2009-01,Android,2026-05,61.61,38.29,-23.32,2009-01:iOS | 2013-01:Android,StatCounter GlobalStats mobile OS web usage share
Lebanon,1,iOS,2009-01,Android,2026-05,66.51,33.48,-33.03,2009-01:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
Libya,1,iOS,2009-01,Android,2026-05,85.22,14.73,-70.49,2009-01:iOS | 2012-04:Android,StatCounter GlobalStats mobile OS web usage share
Madagascar,1,iOS,2009-01,Android,2026-05,92.69,6.95,-85.74,2009-01:iOS | 2012-03:Android,StatCounter GlobalStats mobile OS web usage share
Malaysia,1,iOS,2009-01,Android,2026-05,58.87,40.94,-17.93,2009-01:iOS | 2011-05:Android,StatCounter GlobalStats mobile OS web usage share
Maldives,1,iOS,2009-01,Android,2026-05,56.09,43.9,-12.19,2009-01:iOS | 2012-04:Android,StatCounter GlobalStats mobile OS web usage share
Martinique,1,iOS,2009-01,Android,2026-05,62.69,37.29,-25.4,2009-01:iOS | 2011-03:Android,StatCounter GlobalStats mobile OS web usage share
Mauritania,1,iOS,2009-01,Android,2026-05,65.69,34.31,-31.38,2009-01:iOS | 2012-07:Android,StatCounter GlobalStats mobile OS web usage share
Mauritius,1,iOS,2009-01,Android,2026-05,79.73,20.26,-59.47,2009-01:iOS | 2012-01:Android,StatCounter GlobalStats mobile OS web usage share
Mexico,1,iOS,2009-01,Android,2026-05,66.39,33.6,-32.79,2009-01:iOS | 2012-02:Android,StatCounter GlobalStats mobile OS web usage share
