country,crossover_count,first_observed_leader,first_observed_month,latest_leader,latest_month,latest_android_share,latest_ios_share,latest_ios_minus_android_pp,leader_timeline,source
Falkland Islands (Malvinas),27,iOS,2009-01,Android,2026-05,64.1,35.81,-28.29,2009-01:iOS | 2011-10:Android | 2011-11:iOS | 2012-02:Android | 2012-03:iOS | 2013-07:Android | 2013-08:iOS | 2014-02:Android | 2014-03:iOS | 2014-04:Android | 2014-07:iOS | 2014-08:Android | 2015-01:iOS | 2015-09:Android | 2016-04:iOS | 2016-05:Android | 2016-06:iOS | 2016-07:Android | 2017-03:iOS | 2017-04:Android | 2017-05:iOS | 2017-06:Android | 2018-08:iOS | 2018-09:Android | 2018-11:iOS | 2018-12:Android | 2025-12:iOS | 2026-01:Android,StatCounter GlobalStats mobile OS web usage share
Turks and Caicos Islands,26,iOS,2009-01,iOS,2026-05,40.16,59.84,19.68,2009-01:iOS | 2013-03:Android | 2013-05:iOS | 2013-09:Android | 2014-01:iOS | 2014-05:Android | 2014-07:iOS | 2014-08:Android | 2017-01:iOS | 2017-02:Android | 2018-12:iOS | 2019-02:Android | 2019-12:iOS | 2020-03:Android | 2020-12:iOS | 2021-03:Android | 2021-04:iOS | 2021-09:Android | 2021-10:iOS | 2022-10:Android | 2022-11:iOS | 2023-10:Android | 2023-11:iOS | 2024-09:Android | 2024-10:iOS | 2025-09:Android | 2025-11:iOS,StatCounter GlobalStats mobile OS web usage share
Guam,24,iOS,2009-01,iOS,2026-05,43.79,56.21,12.42,2009-01:iOS | 2013-07:Android | 2013-08:iOS | 2013-10:Android | 2015-11:iOS | 2016-11:Android | 2017-01:iOS | 2017-02:Android | 2017-03:iOS | 2017-04:Android | 2017-08:iOS | 2018-12:Android | 2019-02:iOS | 2019-04:Android | 2019-05:iOS | 2019-06:Android | 2020-04:iOS | 2020-05:Android | 2020-10:iOS | 2020-12:Android | 2021-03:iOS | 2025-11:Android | 2025-12:iOS | 2026-02:Android | 2026-04:iOS,StatCounter GlobalStats mobile OS web usage share
Aland Islands,23,iOS,2009-04,Android,2026-05,56.19,43.78,-12.41,2009-04:iOS | 2011-03:Android | 2011-04:iOS | 2012-05:Android | 2012-06:iOS | 2014-11:Android | 2014-12:iOS | 2015-06:Android | 2015-08:iOS | 2015-10:Android | 2015-11:iOS | 2015-12:Android | 2016-01:iOS | 2016-05:Android | 2016-11:iOS | 2017-01:Android | 2017-03:iOS | 2017-06:Android | 2017-09:iOS | 2017-12:Android | 2018-02:iOS | 2018-06:Android | 2018-10:iOS | 2019-06:Android,StatCounter GlobalStats mobile OS web usage share
Bonaire Sint Eustatius and Saba,23,iOS,2013-04,Android,2026-05,78.28,21.72,-56.56,2013-04:iOS | 2013-05:Android | 2013-07:iOS | 2013-09:Android | 2021-12:iOS | 2022-01:Android | 2022-02:iOS | 2022-03:Android | 2022-07:iOS | 2022-08:Android | 2022-12:iOS | 2023-02:Android | 2023-03:iOS | 2023-05:Android | 2023-11:iOS | 2024-02:Android | 2024-03:iOS | 2024-04:Android | 2024-10:iOS | 2024-11:Android | 2024-12:iOS | 2025-01:Android | 2025-11:iOS | 2026-01:Android,StatCounter GlobalStats mobile OS web usage share
British Indian Ocean Territory,23,iOS,2009-01,Android,2026-05,94.27,5.73,-88.54,2009-01:iOS | 2012-02:Android | 2013-07:iOS | 2013-08:Android | 2013-11:iOS | 2014-05:Android | 2014-06:iOS | 2014-08:Android | 2014-11:iOS | 2015-03:Android | 2016-01:iOS | 2016-02:Android | 2016-04:iOS | 2016-05:Android | 2018-08:iOS | 2018-09:Android | 2020-02:iOS | 2020-04:Android | 2021-03:iOS | 2021-06:Android | 2021-11:iOS | 2022-01:Android | 2022-08:iOS | 2022-10:Android,StatCounter GlobalStats mobile OS web usage share
Luxembourg,23,iOS,2009-01,Android,2026-05,52.28,47.71,-4.57,2009-01:iOS | 2014-11:Android | 2015-01:iOS | 2015-03:Android | 2015-05:iOS | 2016-04:Android | 2016-05:iOS | 2016-08:Android | 2016-10:iOS | 2016-12:Android | 2017-01:iOS | 2017-07:Android | 2017-09:iOS | 2018-08:Android | 2018-10:iOS | 2018-12:Android | 2019-02:iOS | 2019-03:Android | 2020-10:iOS | 2021-03:Android | 2023-05:iOS | 2023-06:Android | 2025-12:iOS | 2026-01:Android,StatCounter GlobalStats mobile OS web usage share
Micronesia Federated States of,23,iOS,2009-01,Android,2026-05,76.28,23.72,-52.56,2009-01:iOS | 2010-09:Android | 2010-11:iOS | 2011-02:Android | 2011-04:iOS | 2011-06:Android | 2011-07:iOS | 2011-08:Android | 2012-02:iOS | 2012-03:Android | 2012-04:iOS | 2012-07:Android | 2012-08:iOS | 2012-09:Android | 2012-10:iOS | 2012-11:Android | 2012-12:iOS | 2013-07:Android | 2013-10:iOS | 2013-11:Android | 2014-08:iOS | 2014-10:Android | 2014-11:iOS | 2015-01:Android,StatCounter GlobalStats mobile OS web usage share
Saint Helena,23,iOS,2011-07,Android,2026-05,88.28,11.72,-76.56,2011-07:iOS | 2012-07:Android | 2012-08:iOS | 2013-04:Android | 2013-05:iOS | 2013-12:Android | 2014-01:iOS | 2014-02:Android | 2014-06:iOS | 2014-07:Android | 2014-08:iOS | 2014-09:Android | 2015-05:iOS | 2015-06:Android | 2020-10:iOS | 2020-11:Android | 2022-04:iOS | 2022-05:Android | 2023-02:iOS | 2023-03:Android | 2025-05:iOS | 2025-06:Android | 2026-03:iOS | 2026-04:Android,StatCounter GlobalStats mobile OS web usage share
Christmas Island,22,Android,2015-04,Android,2026-05,100,0,-100,2015-04:Android | 2015-05:iOS | 2015-07:Android | 2015-09:iOS | 2015-12:Android | 2016-01:iOS | 2016-05:Android | 2016-06:iOS | 2016-08:Android | 2018-11:iOS | 2019-02:Android | 2020-09:iOS | 2020-11:Android | 2021-12:iOS | 2022-03:Android | 2022-08:iOS | 2022-10:Android | 2023-05:iOS | 2023-06:Android | 2024-04:iOS | 2024-05:Android | 2025-02:iOS | 2026-01:Android,StatCounter GlobalStats mobile OS web usage share
