year,name,code,iso2,region,income_group,value_usd,value_million_usd,value_trillion_usd,rank,color,source,indicator,source_url
1976,"Hong Kong SAR, China",HKG,HK,East Asia & Pacific,High income,11700010000,11700.01,0.011700,10,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Belgium,BEL,BE,Europe & Central Asia,High income,9400050000,9400.05,0.009400,11,#84CC16,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Denmark,DNK,DK,Europe & Central Asia,High income,4800040000,4800.04,0.004800,12,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,"Iran, Islamic Rep.",IRN,IR,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,3100000000,3100.00,0.003100,13,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Sweden,SWE,SE,Europe & Central Asia,High income,2600010000,2600.01,0.002600,14,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Austria,AUT,AT,Europe & Central Asia,High income,1500040000,1500.04,0.001500,15,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Luxembourg,LUX,LU,Europe & Central Asia,High income,800000000,800.00,0.000800,16,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Mexico,MEX,MX,Latin America & Caribbean,Upper middle income,800000000,800.00,0.000800,17,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,United States,USA,US,North America,High income,834238000000,834238.00,0.834238,1,#A78BFA,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Canada,CAN,CA,North America,High income,173941850000,173941.85,0.173942,2,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,United Kingdom,GBR,GB,Europe & Central Asia,High income,115464670000,115464.67,0.115465,3,#818CF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Germany,DEU,DE,Europe & Central Asia,High income,65101130000,65101.13,0.065101,4,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Switzerland,CHE,CH,Europe & Central Asia,High income,29858100000,29858.10,0.029858,5,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,France,FRA,FR,Europe & Central Asia,High income,27928580000,27928.58,0.027929,6,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,24066140000,24066.14,0.024066,7,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Netherlands,NLD,NL,Europe & Central Asia,High income,22518250000,22518.25,0.022518,8,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Japan,JPN,JP,East Asia & Pacific,High income,21530430000,21530.43,0.021530,9,#FB7185,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,"Hong Kong SAR, China",HKG,HK,East Asia & Pacific,High income,10528310000,10528.31,0.010528,10,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Belgium,BEL,BE,Europe & Central Asia,High income,10291330000,10291.33,0.010291,11,#84CC16,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Sweden,SWE,SE,Europe & Central Asia,High income,7600940000,7600.94,0.007601,12,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Italy,ITA,IT,Europe & Central Asia,High income,6165910000,6165.91,0.006166,13,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Denmark,DNK,DK,Europe & Central Asia,High income,4779990000,4779.99,0.004780,14,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,"Iran, Islamic Rep.",IRN,IR,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,3814710000,3814.71,0.003815,15,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Austria,AUT,AT,Europe & Central Asia,High income,1489940000,1489.94,0.001490,16,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Luxembourg,LUX,LU,Europe & Central Asia,High income,861850000,861.85,0.000862,17,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1977,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,832500000,832.50,0.000833,18,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,United States,USA,US,North America,High income,861961000000,861961.00,0.861961,1,#A78BFA,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Canada,CAN,CA,North America,High income,179690430000,179690.43,0.179690,2,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,United Kingdom,GBR,GB,Europe & Central Asia,High income,129427870000,129427.87,0.129428,3,#818CF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Germany,DEU,DE,Europe & Central Asia,High income,83691660000,83691.66,0.083692,4,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,France,FRA,FR,Europe & Central Asia,High income,45382360000,45382.36,0.045382,5,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Switzerland,CHE,CH,Europe & Central Asia,High income,38052230000,38052.23,0.038052,6,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Japan,JPN,JP,East Asia & Pacific,High income,34198150000,34198.15,0.034198,7,#FB7185,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,30944810000,30944.81,0.030945,8,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Netherlands,NLD,NL,Europe & Central Asia,High income,26576140000,26576.14,0.026576,9,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Spain,ESP,ES,Europe & Central Asia,High income,17940860000,17940.86,0.017941,10,#22C55E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Austria,AUT,AT,Europe & Central Asia,High income,17449440000,17449.44,0.017449,11,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,"Hong Kong SAR, China",HKG,HK,East Asia & Pacific,High income,12930600000,12930.60,0.012931,12,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Belgium,BEL,BE,Europe & Central Asia,High income,12507160000,12507.16,0.012507,13,#84CC16,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1978,Sweden,SWE,SE,Europe & Central Asia,High income,10224760000,10224.76,0.010225,14,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
