year,name,code,flag,region,currency,value,rank,color,source
2006,Chile,CHL,🇨🇱,Americas,CLP,530.2750,3,#EF4444,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Costa Rica,CRI,🇨🇷,Americas,CRC,511.3018,4,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Hungary,HUN,🇭🇺,Europe,HUF,210.3900,5,#EC4899,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Slovenia,SVN,🇸🇮,Europe,SIT,191.0283,6,#65A30D,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Japan,JPN,🇯🇵,Asia,JPY,116.2993,7,#FB7185,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Iceland,ISL,🇮🇸,Europe,ISK,70.1800,8,#0EA5E9,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Slovak Republic,SVK,🇸🇰,Europe,SKK,29.6973,9,#2563EB,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Czechia,CZE,🇨🇿,Europe,CZK,22.5956,10,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Estonia,EST,🇪🇪,Europe,EEK,12.4655,11,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Mexico,MEX,🇲🇽,Americas,MXN,10.8992,12,#2DD4BF,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Sweden,SWE,🇸🇪,Europe,SEK,7.378249,13,#FDE047,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Norway,NOR,🇳🇴,Europe,NOK,6.413333,14,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Denmark,DNK,🇩🇰,Europe,DKK,5.946778,15,#14B8A6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Israel,ISR,🇮🇱,Middle East,ILS,4.455808,16,#6366F1,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Poland,POL,🇵🇱,Europe,PLN,3.103158,17,#E11D48,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Lithuania,LTU,🇱🇹,Europe,LTL,2.752225,18,#F59E0B,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,New Zealand,NZL,🇳🇿,Oceania,NZD,1.542056,19,#7DD3FC,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Turkiye,TUR,🇹🇷,Europe/Asia,TRY,1.428453,20,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Australia,AUS,🇦🇺,Oceania,AUD,1.327973,21,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Switzerland,CHE,🇨🇭,Europe,CHF,1.253843,22,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Canada,CAN,🇨🇦,Americas,CAD,1.134345,23,#60A5FA,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,United States,USA,🇺🇸,Americas,USD,1.000000,24,#22D3EE,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Austria,AUT,🇦🇹,Europe,EUR,0.796433,25,#F43F5E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Belgium,BEL,🇧🇪,Europe,EUR,0.796433,26,#F97316,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Finland,FIN,🇫🇮,Europe,EUR,0.796433,27,#84CC16,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,France,FRA,🇫🇷,Europe,EUR,0.796433,28,#3B82F6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2006,Germany,DEU,🇩🇪,Europe,EUR,0.796433,29,#EAB308,"World Bank PA.NUS.FCRF, annual average official exchange rate"
