schedule_id,official_date,year,month,visibility_date,match_window_end_date
id9089,2009-11-20,2009,11,,
id9115,2009-12-16,2009,12,,
id9164,2010-02-03,2010,02,,
id9192,2010-03-03,2010,03,,
id9220,2010-03-31,2010,03,,
id9248,2010-04-28,2010,04,,
id9276,2010-05-26,2010,05,,
id9325,2010-07-14,2010,07,,
id9353,2010-08-11,2010,08,,
id9388,2010-09-15,2010,09,,
id9423,2010-10-20,2010,10,,
id9451,2010-11-17,2010,11,,
id9479,2010-12-15,2010,12,,
id9507,2011-01-12,2011,01,,
id9528,2011-02-02,2011,02,,
id9563,2011-03-09,2011,03,,
id9598,2011-04-13,2011,04,,
id9633,2011-05-18,2011,05,,
id9675,2011-06-29,2011,06,,
id9703,2011-07-27,2011,07,,
id9731,2011-08-24,2011,08,,
id9759,2011-09-21,2011,09,,
id9787,2011-10-19,2011,10,,
id9822,2011-11-23,2011,11,,
id9850,2011-12-21,2011,12,,
id9878,2012-01-18,2012,01,,
id9906,2012-02-15,2012,02,,
id9927,2012-03-07,2012,03,,
id9962,2012-04-11,2012,04,,
id9990,2012-05-09,2012,05,,
id10018,2012-06-06,2012,06,,
id10046,2012-07-04,2012,07,,
id10081,2012-08-08,2012,08,,
id10109,2012-09-05,2012,09,,
id10137,2012-10-03,2012,10,,
id10172,2012-11-07,2012,11,,
id10214,2012-12-19,2012,12,,
id10243,2013-01-17,2013,01,,
id10271,2013-02-14,2013,02,,
id10299,2013-03-14,2013,03,,
id10327,2013-04-11,2013,04,,
id10355,2013-05-09,2013,05,,
id10383,2013-06-06,2013,06,,
id10411,2013-07-04,2013,07,,
id10446,2013-08-08,2013,08,,
id10481,2013-09-12,2013,09,,
id10516,2013-10-17,2013,10,,
id10558,2013-11-28,2013,11,,
id10579,2013-12-19,2013,12,,
id10607,2014-01-16,2014,01,,
id10635,2014-02-13,2014,02,,
id10663,2014-03-13,2014,03,,
id10691,2014-04-10,2014,04,,
id10719,2014-05-08,2014,05,,
id10747,2014-06-05,2014,06,,
id10789,2014-07-17,2014,07,,
id10817,2014-08-14,2014,08,,
id10852,2014-09-18,2014,09,,
id10887,2014-10-23,2014,10,,
id10922,2014-11-27,2014,11,,
id10943,2014-12-18,2014,12,,
id10964,2015-01-08,2015,01,,
id10999,2015-02-12,2015,02,,
id11027,2015-03-12,2015,03,,
id11055,2015-04-09,2015,04,,
id11083,2015-05-07,2015,05,,
id11111,2015-06-04,2015,06,,
id11146,2015-07-09,2015,07,,
id11174,2015-08-06,2015,08,,
id11202,2015-09-03,2015,09,,
id11230,2015-10-01,2015,10,,
id11265,2015-11-05,2015,11,,
id11293,2015-12-03,2015,12,,
id11328,2016-01-07,2016,01,,
id11356,2016-02-04,2016,02,,
id11384,2016-03-03,2016,03,,
id11419,2016-04-07,2016,04,,
id11447,2016-05-05,2016,05,,
id11475,2016-06-02,2016,06,,
id11517,2016-07-14,2016,07,,
id11545,2016-08-11,2016,08,,
id11580,2016-09-15,2016,09,,
id11615,2016-10-20,2016,10,,
id11650,2016-11-24,2016,11,,
id11678,2016-12-22,2016,12,,
id11699,2017-01-12,2017,01,,
id11727,2017-02-09,2017,02,,
id11755,2017-03-09,2017,03,,
id11783,2017-04-06,2017,04,,
id11811,2017-05-04,2017,05,,
id11839,2017-06-01,2017,06,,
id11874,2017-07-06,2017,07,,
id11909,2017-08-10,2017,08,,
id11944,2017-09-14,2017,09,,
id11976,2017-10-16,2017,10,,
id12014,2017-11-23,2017,11,,
id12042,2017-12-21,2017,12,,
id12070,2018-01-18,2018,01,,
id12098,2018-02-15,2018,02,,
id12126,2018-03-15,2018,03,,
id12154,2018-04-12,2018,04,,
id12189,2018-05-17,2018,05,,
id12210,2018-06-07,2018,06,,
id12252,2018-07-01,2018,07,,
id12280,2018-08-16,2018,08,,
id12315,2018-09-20,2018,09,,
id12350,2018-10-25,2018,10,,
id12385,2018-11-29,2018,11,,
id12406,2018-12-20,2018,12,,
id12455,2019-02-07,2019,02,,2019-02-03
id12511,2019-04-04,2019,04,,2019-03-31
id12582,2019-06-14,2019,06,2019-06-14T08:00:00+00:00,2019-06-11
id12623,2019-07-25,2019,07,2019-07-25T04:00:00+00:00,2019-07-21
id12679,2019-09-19,2019,09,2019-10-13T21:00:00+00:00,2019-09-15
id12714,2019-10-24,2019,10,,2019-10-20
id12749,2019-11-28,2019,11,2019-11-27T22:00:00+00:00,2019-11-24
id12770,2019-12-19,2019,12,2019-12-19T08:50:00+00:00,2019-12-15
id12833,2020-02-20,2020,02,2020-02-20T08:50:00+00:00,2020-02-16
id12882,2020-04-09,2020,04,2020-04-09T07:55:00+00:00,2020-04-05
id12883,2020-06-11,2020,06,2020-06-11T08:00:00+00:00,2020-06-09
id12884,2020-07-16,2020,07,2020-07-16T07:45:00+00:00,2020-07-12
id13043,2020-09-17,2020,09,2020-09-17T08:00:00+00:00,2020-09-13
id13078,2020-10-22,2020,10,2020-10-22T07:50:00+00:00,2020-10-18
id13113,2020-11-26,2020,11,2020-11-27T08:50:00+00:00,2020-11-22
id13127,2020-12-10,2020,12,2020-12-10T08:50:00+00:00,2020-12-06
id13197,2021-02-18,2021,02,2021-02-18T07:30:00+00:00,2021-02-14
id13245,2021-04-07,2021,04,2021-04-07T11:50:00+00:00,2021-04-04
id13295,2021-05-27,2021,05,2021-05-27T07:50:00+00:00,2021-05-23
id13372,2021-08-12,2021,08,2021-08-12T07:50:00+00:00,2021-08-08
id13407,2021-09-16,2021,09,2021-09-16T07:50:00+00:00,2021-09-12
id13442,2021-10-21,2021,10,2021-10-21T07:50:00+00:00,2021-10-17
id13471,2021-11-19,2021,11,2021-11-19T12:55:00+00:00,2021-11-16
id13505,2021-12-23,2021,12,2021-12-23T08:50:00+00:00,2021-12-19
id13554,2022-02-10,2022,02,2022-02-10T08:50:00+00:00,2022-02-06
id13603,2022-03-31,2022,03,2022-03-31T10:29:00+00:00,2022-03-30
id13687,2022-06-23,2022,06,2022-06-23T07:50:00+00:00,2022-06-19
id13750,2022-08-25,2022,08,2022-08-25T07:50:00+00:00,2022-08-21
id13792,2022-10-06,2022,10,,2022-10-02
id13869,2022-12-22,2022,12,2022-12-22T08:50:00+00:00,2022-12-18
id13974,2023-04-06,2023,04,2023-04-06T07:50:00+00:00,2023-04-02
id14058,2023-06-29,2023,06,2023-06-29T07:50:00+00:00,2023-06-20
id14079,2023-07-20,2023,07,2023-07-20T07:50:00+00:00,2023-07-16
id14142,2023-09-21,2023,09,2023-09-21T07:50:00+00:00,2023-09-17
id14177,2023-10-26,2023,10,2023-10-26T07:50:00+00:00,2023-10-22
id14212,2023-11-30,2023,11,2023-11-30T08:50:00+00:00,2023-11-26
id14233,2023-12-21,2023,12,2023-12-21T08:50:00+00:00,2023-12-17
id14289,2024-02-15,2024,02,2024-02-15T08:50:00+00:00,2024-02-11
id14338,2024-04-04,2024,04,2024-04-04T07:50:00+00:00,2024-03-31
id14415,2024-06-20,2024,06,2024-06-20T07:50:00+00:00,2024-06-13
id14443,2024-07-18,2024,07,2024-07-18T07:50:00+00:00,2024-07-14
id14506,2024-09-19,2024,09,2024-09-19T07:50:00+00:00,2024-09-15
id14541,2024-10-24,2024,10,2024-10-24T07:50:00+00:00,2024-10-20
id14576,2024-11-28,2024,11,2024-11-28T12:50:00+00:00,2024-11-24
id14597,2024-12-19,2024,12,2024-12-19T08:50:00+00:00,2024-12-15
id14702,2025-04-03,2025,04,2025-04-03T07:45:00+00:00,2025-03-30
id14800,2025-07-10,2025,07,2025-07-10T07:45:00+00:00,2025-07-06
id14870,2025-09-18,2025,09,2025-09-18T07:45:00+00:00,2025-09-14
id14898,2025-10-16,2025,10,2025-10-17T10:27:00+00:00,2025-10-14
id14933,2025-11-20,2025,11,2025-11-19T15:20:00+00:00,2025-11-18
id14962,2025-12-19,2025,12,2025-12-22T10:50:00+00:00,2025-12-19
id14993,2026-01-19,2026,01,2026-01-19T16:51:00+00:00,2026-01-18
id15065,2026-04-01,2026,04,2026-04-01T13:00:00+00:00,2026-03-31
id15136,2026-06-11,2026,06,2026-06-11T10:00:00+00:00,2026-06-10
