date,year,quarter,month,name,code,region,value,rank,color,flag,worldCupWins
1992-12-31,1992,4,12,Germany,GER,UEFA,57,1,#FFCC33,GER,4
1992-12-31,1992,4,12,Italy,ITA,UEFA,57,2,#31D07D,ITA,4
1992-12-31,1992,4,12,Brazil,BRA,CONMEBOL,56,3,#FFE45C,BRA,5
1992-12-31,1992,4,12,Sweden,SWE,UEFA,56,4,#97E345,SWE,0
1992-12-31,1992,4,12,England,ENG,UEFA,55,5,#F7F7F7,ENG,1
1992-12-31,1992,4,12,Republic of Ireland,IRL,UEFA,54,6,#E3CB45,IRL,0
1992-12-31,1992,4,12,Netherlands,NED,UEFA,54,7,#FF8A3D,NED,0
1992-12-31,1992,4,12,Russia,RUS,UEFA,52,8,#45E3AE,RUS,0
1992-12-31,1992,4,12,Denmark,DEN,UEFA,52,9,#5245E3,DEN,0
1992-12-31,1992,4,12,Argentina,ARG,CONMEBOL,51,10,#6EC6FF,ARG,3
1992-12-31,1992,4,12,Romania,ROU,UEFA,51,11,#E34584,ROU,0
1992-12-31,1992,4,12,Switzerland,SUI,UEFA,51,12,#E39745,SUI,0
1992-12-31,1992,4,12,Nigeria,NGA,CAF,50,13,#45D9E3,NGA,0
1992-12-31,1992,4,12,Norway,NOR,UEFA,49,14,#97E345,NOR,0
1992-12-31,1992,4,12,Spain,ESP,UEFA,49,15,#FF4B3E,ESP,1
1992-12-31,1992,4,12,Uruguay,URU,CONMEBOL,48,16,#77C8FF,URU,2
1992-12-31,1992,4,12,Belgium,BEL,UEFA,48,17,#FFE15A,BEL,0
1992-12-31,1992,4,12,Czechoslovakia,TCH,UEFA,47,18,#C1E345,TCH,0
1992-12-31,1992,4,12,France,FRA,UEFA,46,19,#4D7CFF,FRA,2
1992-12-31,1992,4,12,Poland,POL,UEFA,46,20,#45A1E3,POL,0
1992-12-31,1992,4,12,Egypt,EGY,CAF,45,21,#45B1E3,EGY,0
1992-12-31,1992,4,12,Cameroon,CMR,CAF,43,22,#6F45E3,CMR,0
1992-12-31,1992,4,12,Scotland,SCO,UEFA,43,23,#45B1E3,SCO,0
1992-12-31,1992,4,12,USA,USA,CONCACAF,43,24,#4DA3FF,USA,0
1992-12-31,1992,4,12,Mexico,MEX,CONCACAF,43,25,#20C997,MEX,0
1992-12-31,1992,4,12,Bulgaria,BUL,UEFA,41,26,#7245E3,BUL,0
1992-12-31,1992,4,12,Côte d'Ivoire,CIV,CAF,41,27,#45E36F,CIV,0
1992-12-31,1992,4,12,Wales,WAL,UEFA,40,28,#E37445,WAL,0
1992-12-31,1992,4,12,Yugoslavia,YUG,UEFA,39,29,#E3A145,YUG,0
1992-12-31,1992,4,12,Algeria,ALG,CAF,39,30,#8FE345,ALG,0
1992-12-31,1992,4,12,Greece,GRE,UEFA,38,31,#B445E3,GRE,0
1992-12-31,1992,4,12,Zambia,ZAM,CAF,38,32,#E37F45,ZAM,0
1992-12-31,1992,4,12,Portugal,POR,UEFA,38,33,#34D399,POR,0
1992-12-31,1992,4,12,Austria,AUT,UEFA,38,34,#E38445,AUT,0
1992-12-31,1992,4,12,Colombia,COL,CONMEBOL,36,35,#FFD84D,COL,0
1992-12-31,1992,4,12,Hungary,HUN,UEFA,36,36,#8745E3,HUN,0
1992-12-31,1992,4,12,Costa Rica,CRC,CONCACAF,35,37,#E3A445,CRC,0
1992-12-31,1992,4,12,Tunisia,TUN,CAF,35,38,#A645E3,TUN,0
1992-12-31,1992,4,12,Ghana,GHA,CAF,34,39,#E34599,GHA,0
1992-12-31,1992,4,12,Honduras,HON,CONCACAF,32,40,#B1E345,HON,0
1993-08-08,1993,3,08,Germany,GER,UEFA,58,1,#FFCC33,GER,4
1993-08-08,1993,3,08,Italy,ITA,UEFA,57,2,#31D07D,ITA,4
1993-08-08,1993,3,08,Switzerland,SUI,UEFA,57,3,#E39745,SUI,0
1993-08-08,1993,3,08,Sweden,SWE,UEFA,56,4,#97E345,SWE,0
1993-08-08,1993,3,08,Argentina,ARG,CONMEBOL,56,5,#6EC6FF,ARG,3
1993-08-08,1993,3,08,Republic of Ireland,IRL,UEFA,55,6,#E3CB45,IRL,0
1993-08-08,1993,3,08,Russia,RUS,UEFA,55,7,#45E3AE,RUS,0
1993-08-08,1993,3,08,Brazil,BRA,CONMEBOL,54,8,#FFE45C,BRA,5
1993-08-08,1993,3,08,Norway,NOR,UEFA,54,9,#97E345,NOR,0
1993-08-08,1993,3,08,Denmark,DEN,UEFA,53,10,#5245E3,DEN,0
1993-08-08,1993,3,08,England,ENG,UEFA,53,11,#F7F7F7,ENG,1
1993-08-08,1993,3,08,France,FRA,UEFA,52,12,#4D7CFF,FRA,2
1993-08-08,1993,3,08,Spain,ESP,UEFA,51,13,#FF4B3E,ESP,1
1993-08-08,1993,3,08,Mexico,MEX,CONCACAF,50,14,#20C997,MEX,0
1993-08-08,1993,3,08,Czechoslovakia,TCH,UEFA,50,15,#C1E345,TCH,0
1993-08-08,1993,3,08,Netherlands,NED,UEFA,50,16,#FF8A3D,NED,0
1993-08-08,1993,3,08,Nigeria,NGA,CAF,50,17,#45D9E3,NGA,0
1993-08-08,1993,3,08,Belgium,BEL,UEFA,48,18,#FFE15A,BEL,0
1993-08-08,1993,3,08,Colombia,COL,CONMEBOL,48,19,#FFD84D,COL,0
1993-08-08,1993,3,08,Poland,POL,UEFA,48,20,#45A1E3,POL,0
1993-08-08,1993,3,08,Romania,ROU,UEFA,47,21,#E34584,ROU,0
1993-08-08,1993,3,08,Uruguay,URU,CONMEBOL,46,22,#77C8FF,URU,2
1993-08-08,1993,3,08,Portugal,POR,UEFA,46,23,#34D399,POR,0
1993-08-08,1993,3,08,Cameroon,CMR,CAF,45,24,#6F45E3,CMR,0
1993-08-08,1993,3,08,Zambia,ZAM,CAF,45,25,#E37F45,ZAM,0
1993-08-08,1993,3,08,Egypt,EGY,CAF,44,26,#45B1E3,EGY,0
1993-08-08,1993,3,08,Wales,WAL,UEFA,44,27,#E37445,WAL,0
1993-08-08,1993,3,08,USA,USA,CONCACAF,44,28,#4DA3FF,USA,0
1993-08-08,1993,3,08,Côte d'Ivoire,CIV,CAF,43,29,#45E36F,CIV,0
1993-08-08,1993,3,08,Scotland,SCO,UEFA,42,30,#45B1E3,SCO,0
1993-08-08,1993,3,08,Tunisia,TUN,CAF,40,31,#A645E3,TUN,0
1993-08-08,1993,3,08,Greece,GRE,UEFA,40,32,#B445E3,GRE,0
1993-08-08,1993,3,08,Morocco,MAR,CAF,40,33,#45E36A,MAR,0
1993-08-08,1993,3,08,Algeria,ALG,CAF,40,34,#8FE345,ALG,0
1993-08-08,1993,3,08,Ecuador,ECU,CONMEBOL,40,35,#C6E345,ECU,0
1993-08-08,1993,3,08,Korea Republic,KOR,AFC,40,36,#9EE345,KOR,0
1993-08-08,1993,3,08,Bulgaria,BUL,UEFA,39,37,#7245E3,BUL,0
1993-08-08,1993,3,08,Austria,AUT,UEFA,39,38,#E38445,AUT,0
1993-08-08,1993,3,08,Costa Rica,CRC,CONCACAF,38,39,#E3A445,CRC,0
1993-08-08,1993,3,08,Northern Ireland,NIR,UEFA,37,40,#8145E3,NIR,0
1993-09-23,1993,3,09,Brazil,BRA,CONMEBOL,59,1,#FFE45C,BRA,5
1993-09-23,1993,3,09,Italy,ITA,UEFA,57,2,#31D07D,ITA,4
1993-09-23,1993,3,09,Norway,NOR,UEFA,57,3,#97E345,NOR,0
1993-09-23,1993,3,09,Denmark,DEN,UEFA,56,4,#5245E3,DEN,0
1993-09-23,1993,3,09,England,ENG,UEFA,56,5,#F7F7F7,ENG,1
1993-09-23,1993,3,09,Germany,GER,UEFA,56,5,#FFCC33,GER,4
1993-09-23,1993,3,09,France,FRA,UEFA,56,7,#4D7CFF,FRA,2
1993-09-23,1993,3,09,Russia,RUS,UEFA,55,8,#45E3AE,RUS,0
1993-09-23,1993,3,09,Republic of Ireland,IRL,UEFA,55,9,#E3CB45,IRL,0
1993-09-23,1993,3,09,Switzerland,SUI,UEFA,55,10,#E39745,SUI,0
1993-09-23,1993,3,09,Sweden,SWE,UEFA,55,11,#97E345,SWE,0
1993-09-23,1993,3,09,Argentina,ARG,CONMEBOL,55,12,#6EC6FF,ARG,3
1993-09-23,1993,3,09,Netherlands,NED,UEFA,53,13,#FF8A3D,NED,0
1993-09-23,1993,3,09,Spain,ESP,UEFA,53,14,#FF4B3E,ESP,1
1993-09-23,1993,3,09,Uruguay,URU,CONMEBOL,51,15,#77C8FF,URU,2
1993-09-23,1993,3,09,Mexico,MEX,CONCACAF,51,16,#20C997,MEX,0
1993-09-23,1993,3,09,Czechoslovakia,TCH,UEFA,50,17,#C1E345,TCH,0
1993-09-23,1993,3,09,Nigeria,NGA,CAF,50,18,#45D9E3,NGA,0
1993-09-23,1993,3,09,Colombia,COL,CONMEBOL,50,19,#FFD84D,COL,0
1993-09-23,1993,3,09,Romania,ROU,UEFA,48,20,#E34584,ROU,0
1993-09-23,1993,3,09,Portugal,POR,UEFA,47,21,#34D399,POR,0
1993-09-23,1993,3,09,Poland,POL,UEFA,47,22,#45A1E3,POL,0
1993-09-23,1993,3,09,Cameroon,CMR,CAF,46,23,#6F45E3,CMR,0
1993-09-23,1993,3,09,Belgium,BEL,UEFA,45,24,#FFE15A,BEL,0
1993-09-23,1993,3,09,Egypt,EGY,CAF,45,25,#45B1E3,EGY,0
1993-09-23,1993,3,09,USA,USA,CONCACAF,45,26,#4DA3FF,USA,0
1993-09-23,1993,3,09,Zambia,ZAM,CAF,44,27,#E37F45,ZAM,0
1993-09-23,1993,3,09,Scotland,SCO,UEFA,44,28,#45B1E3,SCO,0
1993-09-23,1993,3,09,Wales,WAL,UEFA,43,29,#E37445,WAL,0
1993-09-23,1993,3,09,Algeria,ALG,CAF,43,30,#8FE345,ALG,0
1993-09-23,1993,3,09,Côte d'Ivoire,CIV,CAF,43,31,#45E36F,CIV,0
1993-09-23,1993,3,09,Morocco,MAR,CAF,42,32,#45E36A,MAR,0
1993-09-23,1993,3,09,Austria,AUT,UEFA,41,33,#E38445,AUT,0
1993-09-23,1993,3,09,Tunisia,TUN,CAF,41,34,#A645E3,TUN,0
1993-09-23,1993,3,09,Greece,GRE,UEFA,40,35,#B445E3,GRE,0
1993-09-23,1993,3,09,Korea Republic,KOR,AFC,39,36,#9EE345,KOR,0
1993-09-23,1993,3,09,Bulgaria,BUL,UEFA,39,37,#7245E3,BUL,0
1993-09-23,1993,3,09,Costa Rica,CRC,CONCACAF,38,38,#E3A445,CRC,0
1993-09-23,1993,3,09,Honduras,HON,CONCACAF,38,39,#B1E345,HON,0
1993-09-23,1993,3,09,Northern Ireland,NIR,UEFA,37,40,#8145E3,NIR,0
1993-10-22,1993,4,10,Brazil,BRA,CONMEBOL,59,1,#FFE45C,BRA,5
1993-10-22,1993,4,10,Norway,NOR,UEFA,59,2,#97E345,NOR,0
1993-10-22,1993,4,10,Italy,ITA,UEFA,59,3,#31D07D,ITA,4
1993-10-22,1993,4,10,Germany,GER,UEFA,58,4,#FFCC33,GER,4
1993-10-22,1993,4,10,Denmark,DEN,UEFA,58,5,#5245E3,DEN,0
1993-10-22,1993,4,10,Netherlands,NED,UEFA,56,6,#FF8A3D,NED,0
1993-10-22,1993,4,10,Spain,ESP,UEFA,56,7,#FF4B3E,ESP,1
1993-10-22,1993,4,10,Sweden,SWE,UEFA,55,8,#97E345,SWE,0
1993-10-22,1993,4,10,Argentina,ARG,CONMEBOL,55,9,#6EC6FF,ARG,3
1993-10-22,1993,4,10,England,ENG,UEFA,55,10,#F7F7F7,ENG,1
1993-10-22,1993,4,10,Republic of Ireland,IRL,UEFA,55,11,#E3CB45,IRL,0
1993-10-22,1993,4,10,Russia,RUS,UEFA,55,11,#45E3AE,RUS,0
1993-10-22,1993,4,10,Switzerland,SUI,UEFA,53,13,#E39745,SUI,0
1993-10-22,1993,4,10,France,FRA,UEFA,53,14,#4D7CFF,FRA,2
1993-10-22,1993,4,10,Romania,ROU,UEFA,52,15,#E34584,ROU,0
1993-10-22,1993,4,10,Nigeria,NGA,CAF,52,16,#45D9E3,NGA,0
1993-10-22,1993,4,10,Uruguay,URU,CONMEBOL,51,17,#77C8FF,URU,2
1993-10-22,1993,4,10,Mexico,MEX,CONCACAF,51,18,#20C997,MEX,0
1993-10-22,1993,4,10,Colombia,COL,CONMEBOL,49,19,#FFD84D,COL,0
1993-10-22,1993,4,10,Portugal,POR,UEFA,49,20,#34D399,POR,0
1993-10-22,1993,4,10,Czechoslovakia,TCH,UEFA,47,21,#C1E345,TCH,0
1993-10-22,1993,4,10,Cameroon,CMR,CAF,47,22,#6F45E3,CMR,0
1993-10-22,1993,4,10,Poland,POL,UEFA,46,23,#45A1E3,POL,0
1993-10-22,1993,4,10,Belgium,BEL,UEFA,46,24,#FFE15A,BEL,0
1993-10-22,1993,4,10,Zambia,ZAM,CAF,45,25,#E37F45,ZAM,0
1993-10-22,1993,4,10,USA,USA,CONCACAF,45,26,#4DA3FF,USA,0
1993-10-22,1993,4,10,Egypt,EGY,CAF,44,27,#45B1E3,EGY,0
1993-10-22,1993,4,10,Wales,WAL,UEFA,44,28,#E37445,WAL,0
1993-10-22,1993,4,10,Scotland,SCO,UEFA,43,29,#45B1E3,SCO,0
1993-10-22,1993,4,10,Morocco,MAR,CAF,43,30,#45E36A,MAR,0
1993-10-22,1993,4,10,Algeria,ALG,CAF,42,31,#8FE345,ALG,0
1993-10-22,1993,4,10,Bulgaria,BUL,UEFA,42,32,#7245E3,BUL,0
1993-10-22,1993,4,10,Côte d'Ivoire,CIV,CAF,41,33,#45E36F,CIV,0
1993-10-22,1993,4,10,Austria,AUT,UEFA,41,34,#E38445,AUT,0
1993-10-22,1993,4,10,Tunisia,TUN,CAF,40,35,#A645E3,TUN,0
1993-10-22,1993,4,10,Greece,GRE,UEFA,40,36,#B445E3,GRE,0
1993-10-22,1993,4,10,Korea Republic,KOR,AFC,39,37,#9EE345,KOR,0
1993-10-22,1993,4,10,Costa Rica,CRC,CONCACAF,38,38,#E3A445,CRC,0
1993-10-22,1993,4,10,Honduras,HON,CONCACAF,38,39,#B1E345,HON,0
1993-10-22,1993,4,10,Ghana,GHA,CAF,37,40,#E34599,GHA,0
1993-11-19,1993,4,11,Italy,ITA,UEFA,60,1,#31D07D,ITA,4
1993-11-19,1993,4,11,Netherlands,NED,UEFA,59,2,#FF8A3D,NED,0
1993-11-19,1993,4,11,Germany,GER,UEFA,59,3,#FFCC33,GER,4
1993-11-19,1993,4,11,Brazil,BRA,CONMEBOL,58,4,#FFE45C,BRA,5
1993-11-19,1993,4,11,Norway,NOR,UEFA,58,5,#97E345,NOR,0
1993-11-19,1993,4,11,Denmark,DEN,UEFA,57,6,#5245E3,DEN,0
1993-11-19,1993,4,11,Spain,ESP,UEFA,57,7,#FF4B3E,ESP,1
1993-11-19,1993,4,11,England,ENG,UEFA,56,8,#F7F7F7,ENG,1
1993-11-19,1993,4,11,Argentina,ARG,CONMEBOL,55,9,#6EC6FF,ARG,3
1993-11-19,1993,4,11,Switzerland,SUI,UEFA,55,9,#E39745,SUI,0
1993-11-19,1993,4,11,Sweden,SWE,UEFA,55,11,#97E345,SWE,0
1993-11-19,1993,4,11,Romania,ROU,UEFA,55,12,#E34584,ROU,0
